X,Y,OBJECTID,NOTES,TYPE,COMPKEY,UNITID,COMPTYPE,SITE,City
500420.43380000,5448353.50420000,1, ,DF,545485,BBY FFS FOUN 4,3,BURNABY FRASER FORESHORE PARK,Burnaby
500079.52240000,5448774.22190000,2, ,DDF,545482,BBY FFS FOUN 1,3,BURNABY FRASER FORESHORE PARK,Burnaby
499969.87450000,5448946.85960000,3, ,ST,545484,BBY FFS FOUN 3,3,BURNABY FRASER FORESHORE PARK,Burnaby
499938.01970000,5448977.04290000,4, ,ST,545483,BBY FFS FOUN 2,3,BURNABY FRASER FORESHORE PARK,Burnaby
500787.36090000,5449800.71770000,5, ,DF,545576,RIVRWY GC FOUN 1,3,RIVERWAY GOLF COURSE,Burnaby
500784.36420000,5449803.73560000,6, ,ST,545577,RIVRWY GC FOUN 2,3,RIVERWAY GOLF COURSE,Burnaby
499306.05460000,5449944.31430000,7, ,DF,545578,RIVRWY GC FOUN 3,3,RIVERWAY GOLF COURSE,Burnaby
499608.22690000,5450104.11730000,8, ,DF,545579,RIVRWY GC FOUN 4,3,RIVERWAY GOLF COURSE,Burnaby
499798.95990000,5450197.72090000,9, ,ST,545585,RIVRWY SC FOUN 4,3,RIVERWAY SPORTS COMPLEX,Burnaby
502962.87390000,5450329.35380000,10, ,DF,545599,TAYLOR PK FOUN 1,3,TAYLOR PARK,Burnaby
499700.44200000,5450378.25190000,11, ,ST,545584,RIVRWY SC FOUN 3,3,RIVERWAY SPORTS COMPLEX,Burnaby
499912.33730000,5450385.43070000,12, ,DF,545582,RIVRWY SC FOUN 1,3,RIVERWAY SPORTS COMPLEX,Burnaby
502648.84830000,5450411.13970000,13, ,DDF,545495,TAYLOR PK FOUN 4,3,TAYLOR PARK,Burnaby
502812.02190000,5450433.90540000,14, ,DDF,545600,TAYLOR PK FOUN 2,3,TAYLOR PARK,Burnaby
502785.58660000,5450471.03010000,15, ,BF,545601,TAYLOR PK FOUN 3,3,TAYLOR PARK,Burnaby
499797.47100000,5450486.24740000,16, ,ST,545583,RIVRWY SC FOUN 2,3,RIVERWAY SPORTS COMPLEX,Burnaby
503533.52580000,5450520.72360000,17, ,DF,545507,BYRNE CREEK FOUN,3,BYRNE CREEK SECONDARY,Burnaby
500820.08480000,5450920.92490000,18, ,DF,545496,ALTA VISTA FOUN,3,ALTA VISTA RESERVOIR PARK,Burnaby
502410.54540000,5451071.73130000,19, ,ST,545590,RON MCLEAN FTN 2,3,RON MCLEAN PARK,Burnaby
502515.82850000,5451131.96510000,20, ,DF,545589,RON MCLEAN FTN 1,3,RON MCLEAN PARK,Burnaby
503995.32160000,5451234.72590000,21, ,ST,545534,ERNIE W FOUN 1,3,ERNIE WINCH PARK,Burnaby
503946.78430000,5451297.81610000,22, ,DF,545535,ERNIE W FOUN 2,3,ERNIE WINCH PARK,Burnaby
498529.79860000,5451379.33010000,23, ,DF,545598,SUNCREST PK FOUN,3,SUNCREST SCHOOL PARK,Burnaby
499456.50300000,5451491.24610000,24, ,DDF,545532,DAVID GREY FOUN,3,DAVID GRAY PARK,Burnaby
504697.03700000,5451515.86490000,25, ,ST,545571,MARY PK FOUN,3,MARY AVENUE PARK,Burnaby
499454.57570000,5451538.70330000,26, ,DF,545536,DAVID GREY FOUN2,3,DAVID GRAY PARK,Burnaby
504476.70060000,5451850.91900000,27, ,DDF,545551,HILDA AV PK FOUN,3,HILDA AVENUE PARK,Burnaby
502531.73840000,5451992.56750000,28, ,DF,545574,RENE MEM PK FOUN,3,RENE MEMORIAL PARK,Burnaby
