X,Y,OBJECTID,NOTES,TYPE,COMPKEY,UNITID,COMPTYPE,SITE
500420.4338,5448353.5042,1, ,DF,545485,BBY FFS FOUN 4,3,BURNABY FRASER FORESHORE PARK
500079.5224,5448774.2219,2, ,DDF,545482,BBY FFS FOUN 1,3,BURNABY FRASER FORESHORE PARK
499969.8745,5448946.8596,3, ,ST,545484,BBY FFS FOUN 3,3,BURNABY FRASER FORESHORE PARK
499938.0197,5448977.0429,4, ,ST,545483,BBY FFS FOUN 2,3,BURNABY FRASER FORESHORE PARK
500787.3609,5449800.7177,5, ,DF,545576,RIVRWY GC FOUN 1,3,RIVERWAY GOLF COURSE
500784.3642,5449803.7356,6, ,ST,545577,RIVRWY GC FOUN 2,3,RIVERWAY GOLF COURSE
499306.0546,5449944.3143,7, ,DF,545578,RIVRWY GC FOUN 3,3,RIVERWAY GOLF COURSE
499608.2269,5450104.1173,8, ,DF,545579,RIVRWY GC FOUN 4,3,RIVERWAY GOLF COURSE
499798.9599,5450197.7209,9, ,ST,545585,RIVRWY SC FOUN 4,3,RIVERWAY SPORTS COMPLEX
502962.8739,5450329.3538,10, ,DF,545599,TAYLOR PK FOUN 1,3,TAYLOR PARK
499700.442,5450378.2519,11, ,ST,545584,RIVRWY SC FOUN 3,3,RIVERWAY SPORTS COMPLEX
499912.3373,5450385.4307,12, ,DF,545582,RIVRWY SC FOUN 1,3,RIVERWAY SPORTS COMPLEX
502648.8483,5450411.1397,13, ,DDF,545495,TAYLOR PK FOUN 4,3,TAYLOR PARK
502812.0219,5450433.9054,14, ,DDF,545600,TAYLOR PK FOUN 2,3,TAYLOR PARK
502785.5866,5450471.0301,15, ,BF,545601,TAYLOR PK FOUN 3,3,TAYLOR PARK
499797.471,5450486.2474,16, ,ST,545583,RIVRWY SC FOUN 2,3,RIVERWAY SPORTS COMPLEX
503533.5258,5450520.7236,17, ,DF,545507,BYRNE CREEK FOUN,3,BYRNE CREEK SECONDARY
500820.0848,5450920.9249,18, ,DF,545496,ALTA VISTA FOUN,3,ALTA VISTA RESERVOIR PARK
502410.5454,5451071.7313,19, ,ST,545590,RON MCLEAN FTN 2,3,RON MCLEAN PARK
502515.8285,5451131.9651,20, ,DF,545589,RON MCLEAN FTN 1,3,RON MCLEAN PARK
503995.3216,5451234.7259,21, ,ST,545534,ERNIE W FOUN 1,3,ERNIE WINCH PARK
503946.7843,5451297.8161,22, ,DF,545535,ERNIE W FOUN 2,3,ERNIE WINCH PARK
498529.7986,5451379.3301,23, ,DF,545598,SUNCREST PK FOUN,3,SUNCREST SCHOOL PARK
499456.503,5451491.2461,24, ,DDF,545532,DAVID GREY FOUN,3,DAVID GRAY PARK
504697.037,5451515.8649,25, ,ST,545571,MARY PK FOUN,3,MARY AVENUE PARK
499454.5757,5451538.7033,26, ,DF,545536,DAVID GREY FOUN2,3,DAVID GRAY PARK
504476.7006,5451850.919,27, ,DDF,545551,HILDA AV PK FOUN,3,HILDA AVENUE PARK
502531.7384,5451992.5675,28, ,DF,545574,RENE MEM PK FOUN,3,RENE MEMORIAL PARK
504714.6637,5452145.5627,29, ,ST,545591,7TH GRAHAM FOUN,3,7TH & GRAHAM TOT LOT PARK
500263.6402,5452214.7584,30,SKATEBOARD PARK,DF,545476,BONSOR PK FOUN 2,3,BONSOR PARK
498650.0305,5452219.4747,31,golf pro shop,DF,545511,CENTRAL FOUN 4,3,CENTRAL PARK
499005.8375,5452226.3372,32,golf,DF,545510,CENTRAL FOUN 3,3,CENTRAL PARK
500328.984,5452319.1552,33,SPORTS FIELD,DF,545475,BONSOR PK FOUN 1,3,BONSOR PARK
499007.5177,5452530.4104,34,tennis crt,DF,545512,CENTRAL FOUN 5,3,CENTRAL PARK
501485.0989,5452699.7059,35, ,DF,545562,KISBY PK FOUN,3,KISBEY PARK
